Products and product groups,time,cpi
Shelter,Apr-22,161.9
Shelter,May-22,163
Shelter,Jun-22,163.6
Shelter,Jul-22,164.2
Shelter,Aug-22,164.1
Shelter,Sep-22,164.9
Shelter,Oct-22,166.2
Shelter,Nov-22,167.2
Shelter,Dec-22,167.8
Shelter,Jan-23,168
Shelter,Feb-23,168.3
Shelter,Mar-23,168.9
Shelter,Apr-23,169.9
Shelter,May-23,170.6
Shelter,Jun-23,171.4
Shelter,Jul-23,172.6
Shelter,Aug-23,174
Shelter,Sep-23,174.8
Shelter,Oct-23,176.3
Shelter,Nov-23,177.1
Shelter,Dec-23,177.8
"Household operations, furnishings and equipment",Jan-13,113.5
"Household operations, furnishings and equipment",Feb-13,114.3
"Household operations, furnishings and equipment",Mar-13,114.7
"Household operations, furnishings and equipment",Apr-13,114.3
"Household operations, furnishings and equipment",May-13,114
"Household operations, furnishings and equipment",Jun-13,114.2
"Household operations, furnishings and equipment",Jul-13,114.5
"Household operations, furnishings and equipment",Aug-13,114.1
"Household operations, furnishings and equipment",Sep-13,114.5
"Household operations, furnishings and equipment",Oct-13,114.7
"Household operations, furnishings and equipment",Nov-13,114.8
"Household operations, furnishings and equipment",Dec-13,114.7
"Household operations, furnishings and equipment",Jan-14,114.7
"Household operations, furnishings and equipment",Feb-14,115.3
"Household operations, furnishings and equipment",Mar-14,115.7
"Household operations, furnishings and equipment",Apr-14,115.5
"Household operations, furnishings and equipment",May-14,115.8
"Household operations, furnishings and equipment",Jun-14,116.4
"Household operations, furnishings and equipment",Jul-14,116.3
"Household operations, furnishings and equipment",Aug-14,117.5
"Household operations, furnishings and equipment",Sep-14,117.6
"Household operations, furnishings and equipment",Oct-14,118.1
"Household operations, furnishings and equipment",Nov-14,118.2
"Household operations, furnishings and equipment",Dec-14,117.8
"Household operations, furnishings and equipment",Jan-15,118
"Household operations, furnishings and equipment",Feb-15,118.9
"Household operations, furnishings and equipment",Mar-15,119.4
"Household operations, furnishings and equipment",Apr-15,119.7
"Household operations, furnishings and equipment",May-15,119.7
"Household operations, furnishings and equipment",Jun-15,120
"Household operations, furnishings and equipment",Jul-15,120.1
"Household operations, furnishings and equipment",Aug-15,120.4
"Household operations, furnishings and equipment",Sep-15,120.5
"Household operations, furnishings and equipment",Oct-15,120.6
"Household operations, furnishings and equipment",Nov-15,119.8
"Household operations, furnishings and equipment",Dec-15,119.6
"Household operations, furnishings and equipment",Jan-16,120
"Household operations, furnishings and equipment",Feb-16,121
"Household operations, furnishings and equipment",Mar-16,121.4
"Household operations, furnishings and equipment",Apr-16,121.6
"Household operations, furnishings and equipment",May-16,122.1
"Household operations, furnishings and equipment",Jun-16,122.4
"Household operations, furnishings and equipment",Jul-16,122.3
"Household operations, furnishings and equipment",Aug-16,122.2
"Household operations, furnishings and equipment",Sep-16,121.9
"Household operations, furnishings and equipment",Oct-16,122.1
"Household operations, furnishings and equipment",Nov-16,121.6
"Household operations, furnishings and equipment",Dec-16,121.3
"Household operations, furnishings and equipment",Jan-17,121.4
"Household operations, furnishings and equipment",Feb-17,121.7
"Household operations, furnishings and equipment",Mar-17,121.4
"Household operations, furnishings and equipment",Apr-17,122.2
"Household operations, furnishings and equipment",May-17,122.4
"Household operations, furnishings and equipment",Jun-17,122.7
"Household operations, furnishings and equipment",Jul-17,122.2
"Household operations, furnishings and equipment",Aug-17,121.9
"Household operations, furnishings and equipment",Sep-17,121.4
"Household operations, furnishings and equipment",Oct-17,122.3
"Household operations, furnishings and equipment",Nov-17,122.7
"Household operations, furnishings and equipment",Dec-17,120.9
"Household operations, furnishings and equipment",Jan-18,122.4
"Household operations, furnishings and equipment",Feb-18,123.4
"Household operations, furnishings and equipment",Mar-18,122.9
"Household operations, furnishings and equipment",Apr-18,123.9
